Event,Average Age
"Athletics Men's 110 metres Hurdles, Ice Hockey Men's Ice Hockey",31.0
"Baseball Men's Baseball, Fencing Men's Sabre, Individual",31.0
Gymnastics Men's Horse Vault,31.0
"Shooting Men's Running Target, 50 metres, Shooting Mixed Rapid-Fire Pistol, 25 metres",31.0
"Rowing Men's Coxless Pairs, Swimming Men's 200 metres Butterfly, Swimming Men's 4 x 100 metres Freestyle Relay, Swimming Men's 4 x 200 metres Freestyle Relay",31.0
"Shooting Men's Air Rifle, 10 metres, Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",31.0
"Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Fours, 1,000 metres, Sailing Mixed Multihull",31.0
"Cycling Men's 100 kilometres Team Time Trial, Sailing Mixed Skiff, Short Track Speed Skating Men's 1,000 metres, Short Track Speed Skating Men's 5,000 metres Relay, Short Track Speed Skating Men's 500 metres",31.0
"Athletics Men's 4 x 400 metres Relay, Athletics Men's 400 metres Hurdles, Cycling Men's Team Pursuit, 4,000 metres",31.0
"Wrestling Men's Light-Heavyweight, Greco-Roman, Wrestling Men's Middleweight, Freestyle",31.0
"Fencing Men's Foil, Team, Fencing Men's Sabre, Individual, Fencing Men's epee, Individual, Fencing Men's epee, Team",31.0
"Canoeing Men's Canadian Singles, 1,000 metres, Canoeing Men's Kayak Singles, 1,000 metres",31.0
"Archery Men's Individual, Fencing Men's Sabre, Individual, Fencing Men's Sabre, Individual, Three Hits, Fencing Men's Sabre, Team, Shooting Mixed Free Rifle, Three Positions, 300 metres, Wrestling Men's Bantamweight, Freestyle",31.0
"Biathlon Women's 15 kilometres, Biathlon Women's 7.5 kilometres Sprint, Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit",31.0
"Football Women's Football, Handball Women's Handball, Shooting Men's Air Rifle, 10 metres, Shooting Men's Running Target, 10 metres, Swimming Women's 200 metres Butterfly",31.0
"Ice Hockey Men's Ice Hockey, Speed Skating Men's 1,500 metres, Speed Skating Men's 5,000 metres, Speed Skating Men's 500 metres",31.0
"Ice Hockey Men's Ice Hockey, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",31.0
